node	name	taxa_level	n_descendants	prop_descendants_w_name	other_names	other_props	full_taxonomy	full_taxonomy_levels	habitat	habitat_probability	cellularity	cellularity_probability	genes_present	genes_gained	domains_present	domains_gained	KEGG_pathways_present	KEGG_pathways_gained	Reactome_pathways_present	Reactome_pathways_gained	nodes_in_results
552	Saprolegnia	genus	2	1	NA	NA	cellular organisms, Eukaryota, Sar, Stramenopiles, Oomycota, Saprolegniales, Saprolegniaceae, Saprolegnia	no rank, superkingdom, clade, clade, phylum, order, family, genus	Aquatic	0.83	Multicellular	0.94	5571	2441	3373	500	0	NA	284.08957796081086	46.513387812401746	n
553	Eukaryota	superkingdom	4	1	Sar, Stramenopiles, Ochrophyta	0.75, 0.75, 0.75	cellular organisms, Eukaryota	no rank, superkingdom	Aquatic	0.95	Unicellular	0.43	3990	966	3150	338	3.8124168685021367	NA	244.39750062555302	19.5321563881653	n
554	Ochrophyta	clade	3	1	NA	NA	cellular organisms, Eukaryota, Sar, Stramenopiles, Ochrophyta	no rank, superkingdom, clade, clade, clade	Aquatic	0.91	Unicellular	0.42	4463	553	3192	104	3.8124168685021367	NA	256.41446979951553	18.71003541897586	n
555	Bacillariophyta	phylum	2	1	NA	NA	cellular organisms, Eukaryota, Sar, Stramenopiles, Ochrophyta, Bacillariophyta	no rank, superkingdom, clade, clade, clade, phylum	Aquatic	1	Unicellular	0.98	5506	1388	3117	132	57.25629324470483	53.443876376202695	253.49721945973207	21.143501836282088	n
556	Alveolata	clade	10	1	NA	NA	cellular organisms, Eukaryota, Sar, Alveolata	no rank, superkingdom, clade, clade	Aquatic	0.91	Unicellular	0.95	2648	165	2490	56	3.8124168685021367	NA	194.17341836045884	18.997700639587926	n
557	Oligohymenophorea	class	3	1	NA	NA	cellular organisms, Eukaryota, Sar, Alveolata, Ciliophora, Intramacronucleata, Oligohymenophorea	no rank, superkingdom, clade, clade, phylum, subphylum, class	Aquatic	0.92	Unicellular	0.44	3331	978	2358	96	3.8124168685021367	NA	202.15142627862946	36.19334520356962	n
558	Hymenostomatida	order	2	1	NA	NA	cellular organisms, Eukaryota, Sar, Alveolata, Ciliophora, Intramacronucleata, Oligohymenophorea, Hymenostomatida	no rank, superkingdom, clade, clade, phylum, subphylum, class, order	Aquatic	0.87	Unicellular	0.41	3651	373	2340	48	3.8124168685021367	NA	209.71773129736374	13.81696249855467	n
559	Alveolata	clade	7	1	Apicomplexa	0.857142857142857	cellular organisms, Eukaryota, Sar, Alveolata	no rank, superkingdom, clade, clade	Aquatic	0.72	Unicellular	1	2854	353	2471	91	3.8124168685021367	NA	189.5136929646498	19.94073708539814	n
560	Apicomplexa	phylum	6	1	NA	NA	cellular organisms, Eukaryota, Sar, Alveolata, Apicomplexa	no rank, superkingdom, clade, clade, phylum	Host-associated	0.86	Unicellular	0.97	2593	75	2185	8	3.8124168685021367	NA	178.00446501756747	8.851890357954627	n
561	Apicomplexa	phylum	5	1	NA	NA	cellular organisms, Eukaryota, Sar, Alveolata, Apicomplexa	no rank, superkingdom, clade, clade, phylum	Host-associated	0.94	Unicellular	0.97	1934	16	1676	4	3.8124168685021367	NA	156.18220417614253	2.167633665478279	n
562	Apicomplexa	phylum	4	1	Aconoidasida	0.75	cellular organisms, Eukaryota, Sar, Alveolata, Apicomplexa	no rank, superkingdom, clade, clade, phylum	Host-associated	0.96	Unicellular	0.97	1806	55	1561	11	19.042977014445974	15.230560145943835	147.4139986738773	4.9768495087079225	n
563	Aconoidasida	class	3	1	NA	NA	cellular organisms, Eukaryota, Sar, Alveolata, Apicomplexa, Aconoidasida	no rank, superkingdom, clade, clade, phylum, class	Host-associated	0.98	Unicellular	0.93	2237	557	1640	177	23.52316519133862	4.480188176892647	146.89072577324785	20.352382783242884	n
